-1.492209275675346225e+00,-1.492209275675346225e+00
-1.257655668435756491e+00,-1.257655668435756491e+00
-1.348750596541903324e+00,-1.348750596541903324e+00
-1.180248853783132157e+00,-1.180248853783132157e+00
-1.510432630793212327e+00,-1.510432630793212327e+00
-1.401837839218473380e+00,-1.401837839218473380e+00
-1.279661547373580621e+00,-1.279661547373580621e+00
-1.378355750786990574e+00,-1.378355750786990574e+00
-1.116486457617666739e+00,-1.116486457617666739e+00
-1.313100299116920056e+00,-1.313100299116920056e+00
-1.576462647790849436e+00,-1.576462647790849436e+00
-1.282725581016500582e+00,-1.282725581016500582e+00
-1.308543209969394994e+00,-1.308543209969394994e+00
-1.370032983830453910e+00,-1.370032983830453910e+00
-1.938514198405953515e+00,-1.938514198405953515e+00
-1.766178858148930608e+00,-1.766178858148930608e+00
-1.620430710700134114e+00,-1.620430710700134114e+00
-1.420830758191670373e+00,-1.420830758191670373e+00
-1.495974953484358272e+00,-1.495974953484358272e+00
-1.482325533524964101e+00,-1.482325533524964101e+00
-1.351023218846310048e+00,-1.351023218846310048e+00
-1.372232684973385686e+00,-1.372232684973385686e+00
-1.647061598474723443e+00,-1.647061598474723443e+00
-1.036700407477267216e+00,-1.036700407477267216e+00
-1.118780927405254921e+00,-1.118780927405254921e+00
-1.168850208644963251e+00,-1.168850208644963251e+00
-1.180950497949223577e+00,-1.180950497949223577e+00
-1.458052033754968724e+00,-1.458052033754968724e+00
-1.473985920557481011e+00,-1.473985920557481011e+00
-1.184805942930657663e+00,-1.184805942930657663e+00
-1.166582587812791560e+00,-1.166582587812791560e+00
-1.317562619619788711e+00,-1.317562619619788711e+00
-1.761716537646062619e+00,-1.761716537646062619e+00
-1.845173496950817116e+00,-1.845173496950817116e+00
-1.313100299116920056e+00,-1.313100299116920056e+00
-1.464871742262430887e+00,-1.464871742262430887e+00
-1.628821397345911137e+00,-1.628821397345911137e+00
-1.313100299116920056e+00,-1.313100299116920056e+00
-1.209849006555984818e+00,-1.209849006555984818e+00
-1.398846726737027923e+00,-1.398846726737027923e+00
-1.454988000112048097e+00,-1.454988000112048097e+00
-8.879611475470253756e-01,-8.879611475470253756e-01
-1.287277668691791277e+00,-1.287277668691791277e+00
-1.076907794049775102e+00,-1.076907794049775102e+00
-1.192354144559627294e+00,-1.192354144559627294e+00
-1.165786175002043290e+00,-1.165786175002043290e+00
-1.499055833138224658e+00,-1.499055833138224658e+00
-1.273611402721450458e+00,-1.273611402721450458e+00
-1.555971671840812087e+00,-1.555971671840812087e+00
-1.394289637589502862e+00,-1.394289637589502862e+00
